,single_y,,,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,cost,
direct,13.533333333333333,2.4900924127609474,16,2.9562638242077326,8.266666666666667,2.26679848026684,21.983333333333334,1.7050756326818075,0,0.0,0,0.0,34.13333333333333,2.110132949466874,34.13333333333333,2.110132949466874,865.3333333333334,50.99956060666434,13.533333333333333,2.5035548955127664,17.2,2.9380151077060925,0,0.0,22.8,1.6377890404983393,0,0.0,0,0.0,60.56666666666667,6.734750384765425,60.56666666666667,6.734750384765425,916.3,60.770279666596096,0,0.0,0,0.0,0,0.0,0,0.0,12.016666666666667,2.7408620778820647,21.833333333333332,1.6820022748679815,33.5,2.2266529126195915,33.5,2.2266529126195915,1029.3333333333333,70.41931234981443
zigZag,19.633333333333333,3.6757971371986153,29,2.9562638242077326,6.883333333333334,1.433004326776519,9.983333333333333,1.3901413587110052,0,0.0,0,0.0,35.28333333333333,2.3197483684652522,35.28333333333333,2.3197483684652522,816.65,53.78570145189397,22.3,3.5894336062177525,30.3,2.6901625954421355,0,0.0,10.8,1.2938120341965957,0,0.0,0,0.0,80.46666666666667,9.559133371405848,80.46666666666667,9.559133371405848,972.2166666666667,74.58931630228673,0,0.0,0,0.0,0,0.0,0,0.0,21.383333333333333,2.5608012576598935,9.833333333333334,1.349343652045885,34.5,2.4426187902785506,34.5,2.4426187902785506,860.6666666666666,60.1641079710751
directZigZag,9.7,2.434348048280703,30.366666666666667,3.138091625115342,2.6,1.285994367252455,8.15,2.41720026949716,0,0.0,0,0.0,34.666666666666664,2.119669124858772,34.666666666666664,2.119669124858772,698.75,52.49533792825493,7.633333333333334,2.7498917727621137,30.466666666666665,3.026308546293148,0,0.0,9.216666666666667,2.115105072516993,0,0.0,0,0.0,49.266666666666666,7.2154518290983845,49.266666666666666,7.2154518290983845,740.0833333333334,69.22064142204658,0,0.0,0,0.0,0,0.0,0,0.0,22.4,5.4052573225230525,8,2.3550410797680277,34,2.2825608499256806,34,2.2825608499256806,824.0,113.30037418259468
dfs_s,23.483333333333334,4.162625491248541,49.28333333333333,4.7812366694858195,24.566666666666666,3.7140055916778056,34.71666666666667,4.062915568057656,0,0.0,0,0.0,62.333333333333336,1.23895682152456,62.333333333333336,1.23895682152456,1791.175,46.200860790845944,31.116666666666667,3.9835445837821863,49.45,4.625195885018267,0,0.0,44.516666666666666,3.6918791947727,0,0.0,0,0.0,119.96666666666667,8.0083289975708,119.96666666666667,8.0083289975708,1996.2583333333334,68.21724391198151,0,0.0,0,0.0,0,0.0,0,0.0,34.06666666666667,4.032917773809444,35.05,4.158316563064369,57.7,0.46017899330842227,57.7,0.46017899330842227,1963.6333333333334,67.68040732009527
dfs_se,21.866666666666667,4.324900219052679,47.266666666666666,4.341965115523819,24.566666666666666,3.7140055916778056,31.55,5.8134153747455315,0,0.0,0,0.0,57.15,4.874302363355372,57.15,4.874302363355372,1682.3666666666666,122.39036825214784,29.45,3.659567867220106,47.43333333333333,4.281547928152203,0,0.0,41.03333333333333,5.23712239501734,0,0.0,0,0.0,111.45,9.548505096601874,111.45,9.548505096601874,1868.1416666666667,121.55335971376144,0,0.0,0,0.0,0,0.0,0,0.0,32.63333333333333,3.620514224429966,31.883333333333333,5.9099450911486615,52.516666666666666,5.022609943471393,52.516666666666666,5.022609943471393,1819.2333333333333,173.46109598618443
dfs_sb,23.483333333333334,4.162625491248541,49.28333333333333,4.7812366694858195,24.566666666666666,3.7140055916778056,34.71666666666667,4.062915568057656,0,0.0,0,0.0,62.333333333333336,1.23895682152456,62.333333333333336,1.23895682152456,1791.175,46.200860790845944,18.133333333333333,3.38790069932095,58.53333333333333,4.32878451186243,0,0.0,29.633333333333333,4.1483687860934175,0,0.0,0,0.0,93.2,6.688256357918982,93.2,6.688256357918982,1649.8,75.55515543366344,0,0.0,0,0.0,0,0.0,0,0.0,52.38333333333333,4.509901959718693,12.166666666666666,1.3982782530058642,56.95,0.5628558631559909,56.95,0.5628558631559909,1640.4666666666667,89.82325627000381
dfs_sbe,21.866666666666667,4.324900219052679,47.266666666666666,4.341965115523819,24.566666666666666,3.7140055916778056,31.55,5.8134153747455315,0,0.0,0,0.0,57.15,4.874302363355372,57.15,4.874302363355372,1682.3666666666666,122.39036825214784,17.366666666666667,3.2743806479166375,56.53333333333333,5.1839009569678955,0,0.0,28.983333333333334,4.198806019429275,0,0.0,0,0.0,89.31666666666666,7.779506943972511,89.31666666666666,7.779506943972511,1596.35,98.11579079516888,0,0.0,0,0.0,0,0.0,0,0.0,51.416666666666664,4.830893811087717,11.1,2.0473389164120976,54.78333333333333,2.65742446024431,54.78333333333333,2.65742446024431,1580.4666666666667,123.10785961115243
dfs_r,34.6275,4.7752220930931895,56.814166666666665,4.594622737937853,18.259166666666665,3.631986427571549,26.593333333333334,3.9939013836649653,0,0.0,0,0.0,74.61416666666666,5.1949772982978875,74.61416666666666,5.1949772982978875,1775.1354166666667,64.7386820336389,27.871666666666666,4.130708112840153,57.4375,4.628781167425531,0,0.0,32.28666666666667,4.120716662232136,0,0.0,0,0.0,112.69083333333333,8.282154170482576,112.69083333333333,8.282154170482576,1817.03,83.9810555904231,0,0.0,0,0.0,0,0.0,0,0.0,39.69916666666666,4.570310611777825,25.808333333333334,3.737856810192191,56.593333333333334,0.79905420878647,56.593333333333334,0.79905420878647,1794.6066666666666,92.38353507804743
dfs_re,34.39666666666667,4.772662165117162,55.75333333333333,4.620275389640642,18.25,3.496095761175518,25.76,3.8316185984824824,0,0.0,0,0.0,72.63,5.482074815880002,72.63,5.482074815880002,1739.1683333333333,74.6816373214755,27.07,4.054478881331851,56.151666666666664,4.836647411935087,0,0.0,31.3675,4.026904151769647,0,0.0,0,0.0,109.21333333333334,8.922490193228708,109.21333333333334,8.922490193228708,1768.0216666666668,94.52482645440695,0,0.0,0,0.0,0,0.0,0,0.0,38.60166666666667,4.582993972322843,25.215,3.7603934367296152,54.700833333333335,2.61891483277075,54.700833333333335,2.61891483277075,1747.2866666666666,106.15904392810187
dfs_rb,29.269166666666667,4.4154610426399925,57.36,4.566484130535076,18.795,3.661167180139977,25.025,4.0057558670895395,0,0.0,0,0.0,61.36833333333333,1.679289701175058,61.36833333333333,1.679289701175058,1675.81375,48.8620176269494,18.535833333333333,3.0938151823502653,57.60583333333334,4.460236622777413,0,0.0,30.5525,4.082826019673436,0,0.0,0,0.0,94.0375,6.214360437436179,94.0375,6.214360437436179,1661.70625,70.88084954083526,0,0.0,0,0.0,0,0.0,0,0.0,49.384166666666665,4.419222093175778,13.42,2.261901154049894,56.594166666666666,0.7140664403891026,56.594166666666666,0.7140664403891026,1616.66,88.36476301550101
dfs_rbe,28.67,4.3879165340274335,56.236666666666665,4.878574514818451,18.991666666666667,3.7082866727454618,24.046666666666667,4.064060290390079,0,0.0,0,0.0,59.26,3.3253995100716325,59.26,3.3253995100716325,1636.085,71.93022247814055,17.860833333333332,3.091023777901401,56.04666666666667,4.7458674940184755,0,0.0,29.895,4.082016746323364,0,0.0,0,0.0,90.72166666666666,7.383966844512255,90.72166666666666,7.383966844512255,1615.7445833333334,87.86701636258877,0,0.0,0,0.0,0,0.0,0,0.0,48.6575,4.562807223424169,12.900833333333333,2.3792260441923876,54.99,2.147574615841983,54.99,2.147574615841983,1580.135,100.8404967253559
