,single_y,,,,,,,,,,,,,,,,single_n,,,,,,,,,,,,,,,,double,,,,,,,,,,,,,,,
,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,,AB90fr,,AB90fx,,AB180fr,,AB180fx,,G90,,G180,,addE,,remE,
dfs_s,22.532467532467532,2.5883565990412545,43.37662337662338,3.4222144302028252,16.961038961038962,3.0106895452596483,20.2987012987013,3.129086528319218,0,0.0,0,0.0,43.57142857142857,1.7200716893610433,43.57142857142857,1.7200716893610433,23.07792207792208,3.2717540513913366,44.33766233766234,3.3309173290409038,0,0.0,25.98701298701299,2.3813613228212804,0,0.0,0,0.0,83.8961038961039,6.4961211414043385,83.8961038961039,6.4961211414043385,0,0.0,0,0.0,0,0.0,0,0.0,29.7125,3.2146569004081558,19.95,2.7919413870747287,37.65,0.4799789024899355,37.65,0.4799789024899355
dfs_se,21.662337662337663,2.707739344576606,42.01298701298701,3.404692993708547,16.961038961038962,3.0106895452596483,18.649350649350648,3.9228287114162166,0,0.0,0,0.0,40.54545454545455,3.563504538133975,40.54545454545455,3.563504538133975,22.181818181818183,3.231128500626338,43,3.2363071872933067,0,0.0,24.2987012987013,3.013412714169658,0,0.0,0,0.0,79.12987012987013,7.510257282982789,79.12987012987013,7.510257282982789,0,0.0,0,0.0,0,0.0,0,0.0,28.6375,3.30034041205495,18.2625,3.6552156250791534,34.55,3.441739330665988,34.55,3.441739330665988
dfs_sb,22.532467532467532,2.5883565990412545,43.37662337662338,3.4222144302028252,16.961038961038962,3.0106895452596483,20.2987012987013,3.129086528319218,0,0.0,0,0.0,43.57142857142857,1.7200716893610433,43.57142857142857,1.7200716893610433,13.142857142857142,2.542865590929618,44.1948051948052,3.9968374374028888,0,0.0,23.92207792207792,3.2878013520725915,0,0.0,0,0.0,63.935064935064936,5.081798434085647,63.935064935064936,5.081798434085647,0,0.0,0,0.0,0,0.0,0,0.0,36.175,2.6803315494897033,11.775,1.8824640464231845,37.4,0.5867740599825068,37.4,0.5867740599825068
dfs_sbe,21.662337662337663,2.707739344576606,42.01298701298701,3.404692993708547,16.961038961038962,3.0106895452596483,18.649350649350648,3.9228287114162166,0,0.0,0,0.0,40.54545454545455,3.563504538133975,40.54545454545455,3.563504538133975,12.662337662337663,2.552658003823453,43.02597402597402,4.081324688118159,0,0.0,23.16883116883117,3.5295839825030426,0,0.0,0,0.0,61.311688311688314,5.724508115526609,61.311688311688314,5.724508115526609,0,0.0,0,0.0,0,0.0,0,0.0,35.4625,2.7785058820720283,10.4125,2.270859704488226,35.1125,2.6144377617619017,35.1125,2.6144377617619017
dfs_r,26.712987012987014,3.703857008019063,41.84025974025974,3.492394103969477,14.911688311688312,2.89926110608231,22.34805194805195,3.103486457156794,0,0.0,0,0.0,53.43636363636364,4.25203719524292,53.43636363636364,4.25203719524292,21.133766233766234,3.1286299236020803,43.567532467532466,3.8188820305403204,0,0.0,25.55974025974026,3.098250680569832,0,0.0,0,0.0,79.9,6.282191479009031,79.9,6.282191479009031,0,0.0,0,0.0,0,0.0,0,0.0,28.32,3.3408908901556345,20.78,2.9702909428802924,37.34875,0.6245887257591445,37.34875,0.6245887257591445
dfs_re,26.424675324675324,3.9552324430536436,40.897402597402596,3.655676741519249,14.836363636363636,2.967395827158027,21.672727272727272,3.2461895783485946,0,0.0,0,0.0,51.65714285714286,4.5384480477114595,51.65714285714286,4.5384480477114595,20.674025974025973,3.4052626065181055,42.17012987012987,3.8564476581017906,0,0.0,25.087012987012987,3.1452009245019332,0,0.0,0,0.0,77.26753246753246,7.2738454378293484,77.26753246753246,7.2738454378293484,0,0.0,0,0.0,0,0.0,0,0.0,27.51375,3.3617611061270156,20.15125,3.001605484045549,35.6925,2.093064714688689,35.6925,2.093064714688689
dfs_rb,22.566233766233765,3.692526117177306,42.04545454545455,3.739121036556536,15.475324675324675,2.9144791603498135,20.715584415584416,3.449941667966372,0,0.0,0,0.0,43.59090909090909,1.9238210932950535,43.59090909090909,1.9238210932950535,13.67142857142857,2.4103891490582647,43.857142857142854,4.191496394031347,0,0.0,24.16103896103896,3.3550286712181654,0,0.0,0,0.0,64.9948051948052,4.858194479752114,64.9948051948052,4.858194479752114,0,0.0,0,0.0,0,0.0,0,0.0,35.09125,2.792430934805205,11.8725,1.81806915966821,37.38,0.6431306409094468,37.38,0.6431306409094468
dfs_rbe,22.29090909090909,3.3644736850926,40.984415584415586,3.638726285640544,15.661038961038962,2.8198006848447985,19.931168831168833,3.422056497731975,0,0.0,0,0.0,41.76623376623377,2.7505578292066946,41.76623376623377,2.7505578292066946,13.264935064935065,2.2818197192479,42.95454545454545,4.034862556883159,0,0.0,23.61038961038961,3.3945410324074974,0,0.0,0,0.0,62.79480519480519,5.239092231793306,62.79480519480519,5.239092231793306,0,0.0,0,0.0,0,0.0,0,0.0,34.5875,2.8714369552080834,10.78875,2.0467926464769435,35.8025,1.9334338514861558,35.8025,1.9334338514861558
dfsLook_s,24.974025974025974,3.284629378972795,48.467532467532465,4.191421111798716,9.935064935064934,2.652395453258205,24.805194805194805,3.1624397686752825,0,0.0,0,0.0,62.33766233766234,3.965676386226366,62.33766233766234,3.965676386226366,26.12987012987013,3.964814488759877,48.72727272727273,3.719211729004879,0,0.0,28.064935064935064,3.0579390304826237,0,0.0,0,0.0,97.77922077922078,8.70816824146547,97.77922077922078,8.70816824146547,0,0.0,0,0.0,0,0.0,0,0.0,32.9375,2.8299651113831015,22.25,2.753593739281933,45.6,2.347096239930027,45.6,2.347096239930027
